wall_time_iso,index,utilization.gpu [%],utilization.memory [%],memory.used [MiB],power.draw [W],clocks.current.graphics [MHz],temperature.gpu
2026/05/19 18:01:44.117, 1, 100, 63, 14799, 316.39, 2655, 66
2026/05/19 18:01:44.347, 0, 41, 8, 3057, 151.70, 2670, 45
2026/05/19 18:01:44.349, 1, 100, 64, 14799, 402.59, 2565, 70
2026/05/19 18:01:44.579, 0, 41, 8, 3057, 151.70, 2670, 45
2026/05/19 18:01:44.582, 1, 100, 64, 14794, 402.59, 2565, 70
2026/05/19 18:01:44.811, 0, 41, 8, 3057, 151.70, 2670, 45
2026/05/19 18:01:44.814, 1, 100, 64, 14794, 413.30, 2655, 67
2026/05/19 18:01:45.044, 0, 43, 11, 3057, 150.96, 2670, 45
2026/05/19 18:01:45.047, 1, 100, 64, 14794, 413.30, 2655, 67
2026/05/19 18:01:45.277, 0, 43, 11, 3057, 150.96, 2670, 45
2026/05/19 18:01:45.279, 1, 100, 70, 14794, 418.35, 2655, 69
2026/05/19 18:01:45.509, 0, 43, 11, 3057, 153.86, 2670, 45
2026/05/19 18:01:45.512, 1, 100, 70, 15528, 418.35, 2655, 69
2026/05/19 18:01:45.744, 0, 43, 11, 3057, 153.86, 2670, 45
2026/05/19 18:01:45.747, 1, 100, 70, 15528, 415.02, 2655, 70
2026/05/19 18:01:45.976, 0, 41, 11, 3057, 154.74, 2670, 45
2026/05/19 18:01:45.979, 1, 100, 70, 15528, 415.02, 2655, 70
2026/05/19 18:01:46.209, 0, 41, 11, 3057, 154.74, 2670, 45
2026/05/19 18:01:46.213, 1, 100, 69, 15530, 414.00, 2625, 71
2026/05/19 18:01:46.443, 0, 41, 11, 3057, 151.74, 2670, 45
2026/05/19 18:01:46.446, 1, 100, 69, 15530, 414.00, 2625, 71
2026/05/19 18:01:46.674, 0, 41, 11, 3057, 151.74, 2670, 45
2026/05/19 18:01:46.678, 1, 100, 69, 15530, 336.27, 2670, 55
2026/05/19 18:01:46.906, 0, 41, 11, 3057, 151.55, 2670, 45
2026/05/19 18:01:46.910, 1, 100, 69, 15488, 336.27, 2670, 55
2026/05/19 18:01:47.137, 0, 41, 11, 3057, 151.55, 2670, 45
2026/05/19 18:01:47.141, 1, 100, 69, 15487, 336.27, 2670, 55
2026/05/19 18:01:47.370, 0, 41, 11, 3057, 149.70, 2670, 45
2026/05/19 18:01:47.375, 1, 11, 1, 15487, 176.32, 2670, 53
2026/05/19 18:01:47.607, 0, 41, 11, 3057, 149.70, 2670, 45
2026/05/19 18:01:47.610, 1, 11, 1, 15491, 176.32, 2670, 53
2026/05/19 18:01:47.841, 0, 41, 11, 3057, 149.70, 2670, 45
2026/05/19 18:01:47.844, 1, 11, 1, 15493, 180.46, 2565, 70
2026/05/19 18:01:48.075, 0, 42, 11, 3057, 151.72, 2670, 45
2026/05/19 18:01:48.078, 1, 11, 1, 15493, 180.46, 2565, 70
2026/05/19 18:01:48.305, 0, 42, 11, 3057, 151.72, 2670, 45
2026/05/19 18:01:48.308, 1, 100, 66, 15493, 337.29, 2655, 72
2026/05/19 18:01:48.537, 0, 42, 11, 3057, 152.93, 2670, 45
2026/05/19 18:01:48.540, 1, 100, 66, 15493, 337.29, 2655, 72
2026/05/19 18:01:48.768, 0, 42, 11, 3057, 152.93, 2670, 45
2026/05/19 18:01:48.772, 1, 100, 66, 15490, 409.44, 2505, 74
2026/05/19 18:01:49.003, 0, 44, 8, 3057, 153.86, 2670, 46
2026/05/19 18:01:49.006, 1, 100, 66, 15492, 409.44, 2505, 74
2026/05/19 18:01:49.238, 0, 44, 8, 3057, 153.86, 2670, 46
2026/05/19 18:01:49.241, 1, 100, 65, 15492, 409.07, 2655, 73
2026/05/19 18:01:49.470, 0, 44, 8, 3057, 153.97, 2670, 45
2026/05/19 18:01:49.472, 1, 100, 65, 15492, 409.07, 2655, 73
2026/05/19 18:01:49.703, 0, 44, 8, 3057, 153.97, 2670, 45
2026/05/19 18:01:49.706, 1, 100, 65, 15491, 421.83, 2595, 69
2026/05/19 18:01:49.936, 0, 45, 11, 3057, 155.36, 2670, 47
2026/05/19 18:01:49.939, 1, 100, 65, 15491, 421.83, 2595, 69
2026/05/19 18:01:50.169, 0, 45, 11, 3057, 155.36, 2670, 47
2026/05/19 18:01:50.172, 1, 100, 66, 15491, 410.40, 2655, 73
2026/05/19 18:01:50.403, 0, 45, 11, 3057, 154.91, 2670, 47
2026/05/19 18:01:50.406, 1, 100, 66, 15493, 410.40, 2655, 73
