timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB], temperature.gpu
2026/05/10 16:33:36.674, 0 %, 0 %, 9.30 W, 1978 MiB, 48
2026/05/10 16:33:36.877, 0 %, 0 %, 8.41 W, 1978 MiB, 48
2026/05/10 16:33:37.080, 0 %, 0 %, 8.30 W, 1978 MiB, 48
2026/05/10 16:33:37.282, 0 %, 0 %, 8.61 W, 1978 MiB, 48
2026/05/10 16:33:37.484, 0 %, 0 %, 8.25 W, 1978 MiB, 48
2026/05/10 16:33:37.688, 0 %, 0 %, 9.22 W, 1978 MiB, 48
2026/05/10 16:33:37.891, 0 %, 0 %, 14.05 W, 1978 MiB, 48
2026/05/10 16:33:38.094, 0 %, 0 %, 15.58 W, 1978 MiB, 48
2026/05/10 16:33:38.307, 87 %, 9 %, 18.58 W, 2514 MiB, 48
2026/05/10 16:33:38.508, 40 %, 3 %, 39.09 W, 3760 MiB, 48
2026/05/10 16:33:38.712, 82 %, 11 %, 45.65 W, 4690 MiB, 48
2026/05/10 16:33:38.913, 32 %, 2 %, 167.52 W, 5460 MiB, 48
2026/05/10 16:33:39.116, 61 %, 22 %, 27.34 W, 5790 MiB, 48
2026/05/10 16:33:39.318, 8 %, 2 %, 24.95 W, 1414 MiB, 50
2026/05/10 16:33:39.522, 25 %, 8 %, 63.32 W, 1824 MiB, 50
2026/05/10 16:33:39.723, 29 %, 10 %, 164.06 W, 2382 MiB, 50
2026/05/10 16:33:39.927, 33 %, 12 %, 83.21 W, 2452 MiB, 59
2026/05/10 16:33:40.137, 30 %, 10 %, 115.01 W, 2452 MiB, 59
2026/05/10 16:33:40.339, 31 %, 11 %, 129.10 W, 2522 MiB, 59
2026/05/10 16:33:43.026, 29 %, 10 %, 150.33 W, 2529 MiB, 59
2026/05/10 16:33:43.228, 27 %, 9 %, 87.96 W, 2529 MiB, 62
2026/05/10 16:33:43.435, 29 %, 10 %, 132.82 W, 2529 MiB, 62
2026/05/10 16:33:43.637, 37 %, 14 %, 70.30 W, 2593 MiB, 62
2026/05/10 16:33:43.839, 34 %, 9 %, 74.36 W, 2593 MiB, 55
2026/05/10 16:33:44.048, 28 %, 7 %, 111.53 W, 2595 MiB, 55
2026/05/10 16:33:44.250, 29 %, 10 %, 94.88 W, 2599 MiB, 55
2026/05/10 16:33:44.451, 27 %, 8 %, 116.45 W, 2599 MiB, 59
2026/05/10 16:33:44.653, 29 %, 7 %, 113.62 W, 2601 MiB, 59
2026/05/10 16:33:44.855, 31 %, 7 %, 113.52 W, 2601 MiB, 59
2026/05/10 16:33:45.056, 32 %, 11 %, 108.17 W, 2601 MiB, 59
2026/05/10 16:33:45.258, 31 %, 7 %, 137.95 W, 2603 MiB, 59
2026/05/10 16:33:45.459, 30 %, 7 %, 104.42 W, 2605 MiB, 55
2026/05/10 16:33:45.661, 29 %, 7 %, 101.79 W, 2605 MiB, 55
2026/05/10 16:33:45.863, 24 %, 7 %, 106.19 W, 2605 MiB, 55
2026/05/10 16:33:46.066, 35 %, 11 %, 108.33 W, 2605 MiB, 60
2026/05/10 16:33:46.272, 32 %, 7 %, 103.43 W, 2607 MiB, 60
2026/05/10 16:33:46.473, 29 %, 10 %, 103.31 W, 2609 MiB, 60
2026/05/10 16:33:46.677, 35 %, 9 %, 86.67 W, 2611 MiB, 55
2026/05/10 16:33:46.880, 30 %, 7 %, 144.72 W, 2611 MiB, 55
2026/05/10 16:33:47.082, 28 %, 8 %, 78.47 W, 2611 MiB, 55
2026/05/10 16:33:47.283, 33 %, 8 %, 135.22 W, 2611 MiB, 61
2026/05/10 16:33:47.486, 28 %, 8 %, 154.27 W, 2611 MiB, 61
2026/05/10 16:33:47.691, 32 %, 9 %, 100.24 W, 2617 MiB, 61
2026/05/10 16:33:47.893, 32 %, 8 %, 116.71 W, 2617 MiB, 57
2026/05/10 16:33:48.094, 28 %, 7 %, 134.11 W, 2617 MiB, 57
2026/05/10 16:33:48.296, 30 %, 7 %, 76.71 W, 2620 MiB, 57
2026/05/10 16:33:48.498, 26 %, 8 %, 100.73 W, 2620 MiB, 64
2026/05/10 16:33:48.700, 29 %, 9 %, 114.05 W, 2622 MiB, 64
2026/05/10 16:33:48.902, 29 %, 6 %, 107.56 W, 2624 MiB, 64
2026/05/10 16:33:49.103, 30 %, 8 %, 94.11 W, 2624 MiB, 58
2026/05/10 16:33:49.310, 27 %, 8 %, 107.38 W, 2623 MiB, 58
2026/05/10 16:33:49.512, 28 %, 7 %, 110.53 W, 2623 MiB, 58
2026/05/10 16:33:49.714, 31 %, 7 %, 147.04 W, 2623 MiB, 60
2026/05/10 16:33:49.916, 29 %, 9 %, 109.99 W, 2625 MiB, 60
2026/05/10 16:33:50.117, 31 %, 8 %, 149.47 W, 2629 MiB, 60
2026/05/10 16:33:50.319, 31 %, 7 %, 116.59 W, 2629 MiB, 60
2026/05/10 16:33:50.521, 27 %, 10 %, 103.13 W, 2629 MiB, 60
2026/05/10 16:33:50.722, 30 %, 8 %, 148.76 W, 2629 MiB, 60
2026/05/10 16:33:50.931, 29 %, 6 %, 166.46 W, 2633 MiB, 57
2026/05/10 16:33:51.139, 25 %, 6 %, 95.25 W, 2633 MiB, 57
2026/05/10 16:33:51.343, 29 %, 10 %, 110.43 W, 2635 MiB, 57
2026/05/10 16:33:51.544, 31 %, 8 %, 142.61 W, 2635 MiB, 65
2026/05/10 16:33:51.748, 29 %, 6 %, 112.18 W, 2635 MiB, 65
2026/05/10 16:33:51.950, 30 %, 10 %, 121.76 W, 2635 MiB, 65
2026/05/10 16:33:52.152, 30 %, 8 %, 119.33 W, 2641 MiB, 59
2026/05/10 16:33:52.354, 16 %, 4 %, 100.11 W, 2641 MiB, 59
2026/05/10 16:33:52.556, 13 %, 5 %, 87.53 W, 2641 MiB, 59
2026/05/10 16:33:52.756, 30 %, 10 %, 95.42 W, 2641 MiB, 60
2026/05/10 16:33:52.958, 31 %, 10 %, 92.02 W, 2641 MiB, 60
2026/05/10 16:33:53.160, 28 %, 8 %, 98.60 W, 2643 MiB, 60
2026/05/10 16:33:53.361, 30 %, 7 %, 104.35 W, 2645 MiB, 61
2026/05/10 16:33:53.563, 27 %, 9 %, 112.28 W, 2694 MiB, 61
2026/05/10 16:33:53.764, 29 %, 8 %, 113.62 W, 2647 MiB, 61
2026/05/10 16:33:53.965, 30 %, 6 %, 114.58 W, 2647 MiB, 58
2026/05/10 16:33:54.167, 31 %, 8 %, 111.02 W, 2647 MiB, 58
2026/05/10 16:33:54.369, 29 %, 8 %, 116.15 W, 2649 MiB, 58
2026/05/10 16:33:54.571, 32 %, 10 %, 107.30 W, 2651 MiB, 57
2026/05/10 16:33:54.773, 25 %, 6 %, 111.50 W, 2653 MiB, 57
2026/05/10 16:33:54.974, 30 %, 8 %, 115.09 W, 2702 MiB, 57
2026/05/10 16:33:55.176, 28 %, 7 %, 115.17 W, 2653 MiB, 61
2026/05/10 16:33:55.377, 31 %, 9 %, 110.35 W, 2653 MiB, 61
2026/05/10 16:33:55.579, 28 %, 7 %, 113.46 W, 2653 MiB, 61
2026/05/10 16:33:55.783, 28 %, 7 %, 115.64 W, 2657 MiB, 62
2026/05/10 16:33:56.019, 31 %, 7 %, 107.86 W, 2659 MiB, 62
2026/05/10 16:33:56.221, 26 %, 9 %, 77.78 W, 2659 MiB, 60
2026/05/10 16:33:56.431, 27 %, 8 %, 147.29 W, 2659 MiB, 60
